"date","open","high","low","close","volume","adjusted"
"15854","165.42","165.8","164.34","165.22","160363400","164.35"
"15855","165.35","166.59","165.22","165.83","107793800","164.96"
"15856","165.37","166.31","163.13","163.45","176850100","162.59"
"15859","163.83","164.46","162.66","164.35","168390700","163.48"
"15860","164.44","165.1","162.73","163.56","157631500","162.7"
"15861","163.09","163.42","161.13","161.27","211737800","160.42"
"15862","161.2","162.74","160.25","162.73","200225500","161.87"
"15863","163.85","164.95","163.14","164.8","188337800","163.93"
"15866","165.31","165.4","164.37","164.8","105667100","163.93"
"15867","163.3","164.54","162.74","163.1","159505400","162.24"
"15868","164.22","164.39","161.6","161.75","177361500","160.9"
"15869","161.66","164.5","161.3","164.21","163587800","163.35"
"15870","164.03","164.67","162.91","163.18","141197500","162.32"
"15873","164.29","165.22","163.22","164.44","136295600","163.57"
"15874","164.53","165.99","164.52","165.74","114695600","164.87"
"15875","165.6","165.89","163.38","163.45","206149500","162.59"
"15876","161.86","163.47","158.98","159.4","321255900","158.56"
"15877","159.64","159.76","157.47","159.07","271956800","159.07"
"15880","157.41","158.43","155.73","157.06","222329000","157.06"
"15881","158.48","160.1","157.42","158.57","162262200","158.57"
"15882","159.87","160.5","159.25","160.14","134848000","160.14"
"15883","161.1","161.82","160.95","161.08","129483700","161.08"
"15884","160.63","161.4","159.86","160.42","160402900","160.42"
"15887","161.26","162.48","161.08","161.36","131954800","161.36"
"15888","161.12","162.3","160.5","161.21","154863700","161.21"
"15889","160.48","161.77","160.22","161.28","75216400","161.28"
"15891","162.47","163.08","161.3","163.02","122416900","163.02"
"15894","163.86","164.39","163.08","163.95","108092500","163.95"
"15895","164.98","165.33","164.27","165.13","119298000","165.13"
"15896","164.97","165.75","164.63","165.19","121410100","165.19"
"15897","167.11","167.61","165.18","167.44","135592200","167.44"
"15898","167.39","167.93","167.13","167.51","104212700","167.51"
"15901","167.97","168.39","167.68","168.15","69450600","168.15"
"15902","168.26","168.36","167.07","167.52","88702100","167.52"
"15903","168.16","168.48","167.73","167.95","92873900","167.95"
"15904","168.31","169.27","168.2","168.87","103620100","168.87"
"15905","168.52","169.23","168.31","169.17","103831700","169.17"
"15908","169.41","169.74","169.01","169.5","79428600","169.5"
"15909","169.8","169.83","169.05","169.14","80829700","169.14"
"15910","169.79","169.86","168.18","168.52","112914000","168.52"
"15911","168.22","169.08","167.94","168.93","111088600","168.93"
"15912","168.22","169.16","167.52","169.11","107814600","169.11"
"15915","168.68","169.06","168.11","168.59","79695000","168.59"
"15916","169.1","169.28","168.19","168.59","85209600","168.59"
"15917","168.94","169.85","168.49","168.71","142388700","168.71"
"15918","169.99","170.81","169.9","170.66","110438400","170.66"
"15919","170.28","170.97","170.05","170.95","91116700","170.95"
"15922","170.57","170.96","170.35","170.7","54072700","170.7"
"15923","170.37","170.74","169.35","169.73","87495000","169.73"
"15924","169.19","169.43","168.55","169.18","84854700","169.18"
"15925","169.98","170.18","168.93","169.8","102181300","169.8"
"15926","169.58","170.1","168.72","169.31","91757700","169.31"
"15929","168.46","169.31","168.38","169.11","68593300","169.11"
"15930","169.41","169.9","168.41","169.61","80806000","169.61"
"15931","169.53","169.8","168.7","168.74","79829200","168.74"
"15932","167.41","167.43","166.09","166.38","152931800","166.38"
"15933","166.06","166.63","165.5","165.83","130868200","165.83"
"15936","165.64","166.21","164.76","164.77","96437600","164.77"
"15937","165.04","166.2","164.86","165.58","89294400","165.58"
"15938","165.12","166.03","164.19","164.56","159530500","164.56"
"15939","164.9","166.3","164.89","166.06","101471400","166.06"
"15940","166.55","166.83","165.77","166.62","90888900","166.62"
"15943","166.79","167.3","165.89","166","89702100","166"
"15944","164.36","166","163.21","163.33","158619400","163.33"
"15945","163.26","164.49","163.05","163.91","108113000","163.91"
"15946","163.55","165.04","163.4","164.17","119200500","164.17"
"15947","164.51","164.53","163.17","163.65","134560800","163.65"
"15951","165.23","165.58","163.7","164.39","142322300","164.39"
"15952","164.43","166.03","164.13","165.75","97304000","165.75"
"15953","165.85","166.4","165.73","165.96","62930500","165.96"
